model,status,question,horizon,condition,fresh_probability,authors_panel_median,matched_baseline_probability,matched_baseline
GPT-6 Astra,complete,ladder:cyber:10M,2030,p3a,0.013,0.008005,0.0056,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2030,p3a,0.0121,0.008005,0.00691,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2030,p3a,,0.008005,0.012,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2030,p3a,0.0085,0.008005,0.007,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2030,p3b,0.0086,0.006385,0.00455,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2030,p3b,0.0097,0.006385,0.00627,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2030,p3b,,0.006385,0.0108,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2030,p3b,0.007,0.006385,0.006,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2030,p4,0.0123,0.00817,0.00595,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2030,p4,0.0123,0.00817,0.00704,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2030,p4,,0.00817,0.0123,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2030,p4,0.008,0.00817,0.006,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2030,p5,0.0051,0.004605,0.0035,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2030,p5,0.0065,0.004605,0.00531,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2030,p5,,0.004605,0.009,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2030,p5,0.004,0.004605,0.004,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2030,eci_p10,0.0115,0.005275,0.00455,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2030,eci_p10,0.0093,0.005275,0.00416,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2030,eci_p10,,0.005275,0.0123,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2030,eci_p10,0.005,0.005275,0.006,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2030,eci_p25,0.016,0.00752,0.0056,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2030,eci_p25,0.0115,0.00752,0.00604,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2030,eci_p25,,0.00752,0.0135,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2030,eci_p25,0.0075,0.00752,0.007,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2030,eci_p50,0.021,0.010499999999999999,0.007,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2030,eci_p50,0.014,0.010499999999999999,0.008,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2030,eci_p50,,0.010499999999999999,0.0147,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2030,eci_p50,0.01,0.010499999999999999,0.008,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2030,eci_p75,0.034,0.01445,0.0091,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2030,eci_p75,0.0185,0.01445,0.011,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2030,eci_p75,,0.01445,0.0179,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2030,eci_p75,0.015,0.01445,0.009,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2030,eci_p90,0.052,0.01865,0.0119,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2030,eci_p90,0.0255,0.01865,0.0164,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2030,eci_p90,,0.01865,0.0209,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2030,eci_p90,0.025,0.01865,0.01,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2050,unconditional,0.12,0.082,0.084,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2050,unconditional,0.06,0.082,0.06,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2050,unconditional,,0.082,0.08,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2050,unconditional,0.05,0.082,0.08,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2050,sq,0.19,0.09495,0.104,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2050,sq,0.067,0.09495,0.0722,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2050,sq,,0.09495,0.0859,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2050,sq,0.05,0.09495,0.08,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2050,p1,0.205,0.09509999999999999,0.108,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2050,p1,0.063,0.09509999999999999,0.0645,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2050,p1,,0.09509999999999999,0.0822,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2050,p1,0.0525,0.09509999999999999,0.084,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2050,p2a,0.107,0.0693,0.072,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2050,p2a,0.054,0.0693,0.056,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2050,p2a,,0.0693,0.0666,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2050,p2a,0.045,0.0693,0.076,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2050,p2b,0.077,0.0587,0.06,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2050,p2b,0.044,0.0587,0.0485,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2050,p2b,,0.0587,0.0574,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2050,p2b,0.03,0.0587,0.068,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2050,p3a,0.085,0.06375,0.064,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2050,p3a,0.052,0.06375,0.0503,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2050,p3a,,0.06375,0.0635,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2050,p3a,0.0425,0.06375,0.072,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2050,p3b,0.056,0.05075,0.048,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2050,p3b,0.042,0.05075,0.0445,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2050,p3b,,0.05075,0.0535,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2050,p3b,0.035,0.05075,0.064,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2050,p4,0.076,0.06375,0.064,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2050,p4,0.053,0.06375,0.0514,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2050,p4,,0.06375,0.0635,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2050,p4,0.04,0.06375,0.068,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2050,p5,0.033,0.039900000000000005,0.032,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2050,p5,0.029,0.039900000000000005,0.0357,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2050,p5,,0.039900000000000005,0.0441,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2050,p5,0.02,0.039900000000000005,0.048,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2050,eci_p10,0.081,0.0683,0.064,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2050,eci_p10,0.041,0.0683,0.0339,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2050,eci_p10,,0.0683,0.0726,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2050,eci_p10,0.025,0.0683,0.064,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2050,eci_p25,0.098,0.07415,0.072,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2050,eci_p25,0.05,0.07415,0.0471,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2050,eci_p25,,0.07415,0.0763,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2050,eci_p25,0.0375,0.07415,0.072,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2050,eci_p50,0.114,0.07925,0.08,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2050,eci_p50,0.06,0.07925,0.06,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2050,eci_p50,,0.07925,0.0785,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2050,eci_p50,0.05,0.07925,0.08,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2050,eci_p75,0.147,0.08765,0.088,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2050,eci_p75,0.077,0.08765,0.0788,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2050,eci_p75,,0.08765,0.0873,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2050,eci_p75,0.075,0.08765,0.092,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2050,eci_p90,0.19,0.10450000000000001,0.1,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2050,eci_p90,0.1,0.10450000000000001,0.109,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2050,eci_p90,,0.10450000000000001,0.0945,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2050,eci_p90,0.125,0.10450000000000001,0.108,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2100,unconditional,0.23,0.19,0.21,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2100,unconditional,0.09,0.19,0.17,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2100,unconditional,,0.19,0.16,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2100,unconditional,0.1,0.19,0.2,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2100,sq,0.31,0.217,0.24,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2100,sq,0.1,0.217,0.194,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2100,sq,,0.217,0.1667,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2100,sq,0.1,0.217,0.2,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2100,p1,0.33,0.2145,0.25,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2100,p1,0.094,0.2145,0.179,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2100,p1,,0.2145,0.1627,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2100,p1,0.105,0.2145,0.21,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2100,p2a,0.211,0.176,0.19,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2100,p2a,0.082,0.176,0.162,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2100,p2a,,0.176,0.1463,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2100,p2a,0.09,0.176,0.19,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2100,p2b,0.163,0.1585,0.17,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2100,p2b,0.068,0.1585,0.147,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2100,p2b,,0.1585,0.1365,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2100,p2b,0.06,0.1585,0.17,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2100,p3a,0.182,0.16499999999999998,0.18,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2100,p3a,0.079,0.16499999999999998,0.15,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2100,p3a,,0.16499999999999998,0.1436,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2100,p3a,0.085,0.16499999999999998,0.18,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2100,p3b,0.135,0.14400000000000002,0.15,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2100,p3b,0.065,0.14400000000000002,0.138,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2100,p3b,,0.14400000000000002,0.1322,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2100,p3b,0.07,0.14400000000000002,0.16,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2100,p4,0.165,0.16649999999999998,0.18,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2100,p4,0.08,0.16649999999999998,0.153,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2100,p4,,0.16649999999999998,0.1436,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2100,p4,0.08,0.16649999999999998,0.17,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2100,p5,0.09,0.11879999999999999,0.13,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2100,p5,0.046,0.11879999999999999,0.12,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2100,p5,,0.11879999999999999,0.1176,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2100,p5,0.04,0.11879999999999999,0.12,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2100,eci_p10,0.183,0.1516,0.16,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2100,eci_p10,0.063,0.1516,0.116,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2100,eci_p10,,0.1516,0.1532,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2100,eci_p10,0.05,0.1516,0.16,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2100,eci_p25,0.207,0.16799999999999998,0.18,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2100,eci_p25,0.076,0.16799999999999998,0.146,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2100,eci_p25,,0.16799999999999998,0.156,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2100,eci_p25,0.075,0.16799999999999998,0.18,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2100,eci_p50,0.23,0.185,0.2,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2100,eci_p50,0.09,0.185,0.17,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2100,eci_p50,,0.185,0.1573,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2100,eci_p50,0.1,0.185,0.2,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2100,eci_p75,0.267,0.21150000000000002,0.22,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2100,eci_p75,0.113,0.21150000000000002,0.203,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2100,eci_p75,,0.21150000000000002,0.1667,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2100,eci_p75,0.15,0.21150000000000002,0.23,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:10M,2100,eci_p90,0.314,0.25,0.25,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:10M,2100,eci_p90,0.145,0.25,0.25,Original Opus 5
Fable 5.1,refused,ladder:cyber:10M,2100,eci_p90,,0.25,0.1732,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:10M,2100,eci_p90,0.25,0.25,0.27,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:100M,6mo,unconditional,0.00012,4.5e-05,3.45e-06,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:100M,6mo,unconditional,0.00035,4.5e-05,6e-05,Original Opus 5
Fable 5.1,refused,ladder:cyber:100M,6mo,unconditional,,4.5e-05,0.0002,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:100M,6mo,unconditional,5e-05,4.5e-05,5e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:100M,6mo,sq,0.000115,5.095e-05,3.3e-06,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:100M,6mo,sq,0.0004,5.095e-05,6.39e-05,Original Opus 5
Fable 5.1,refused,ladder:cyber:100M,6mo,sq,,5.095e-05,0.0002,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:100M,6mo,sq,5e-05,5.095e-05,5e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:100M,6mo,p1,0.00013,5.07e-05,3.45e-06,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:100M,6mo,p1,0.00037,5.07e-05,6.14e-05,Original Opus 5
Fable 5.1,refused,ladder:cyber:100M,6mo,p1,,5.07e-05,0.0002,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:100M,6mo,p1,5.25e-05,5.07e-05,5e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:100M,6mo,p2a,8.5e-05,4.085e-05,2.85e-06,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:100M,6mo,p2a,0.00032,4.085e-05,5.87e-05,Original Opus 5
Fable 5.1,refused,ladder:cyber:100M,6mo,p2a,,4.085e-05,0.00019,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:100M,6mo,p2a,4.5e-05,4.085e-05,4e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:100M,6mo,p2b,6.5e-05,3.67e-05,2.55e-06,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:100M,6mo,p2b,0.00026,3.67e-05,5.64e-05,Original Opus 5
Fable 5.1,refused,ladder:cyber:100M,6mo,p2b,,3.67e-05,0.00019,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:100M,6mo,p2b,3e-05,3.67e-05,4e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:100M,6mo,p3a,5.7e-05,3.9e-05,2.4e-06,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:100M,6mo,p3a,0.00031,3.9e-05,5.7e-05,Original Opus 5
Fable 5.1,refused,ladder:cyber:100M,6mo,p3a,,3.9e-05,0.00018,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:100M,6mo,p3a,4.25e-05,3.9e-05,4e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:100M,6mo,p3b,3.8e-05,3.51e-05,1.95e-06,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:100M,6mo,p3b,0.00025,3.51e-05,5.52e-05,Original Opus 5
Fable 5.1,refused,ladder:cyber:100M,6mo,p3b,,3.51e-05,0.00018,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:100M,6mo,p3b,3.5e-05,3.51e-05,4e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:100M,6mo,p4,5.5e-05,3.965e-05,2.55e-06,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:100M,6mo,p4,0.00031,3.965e-05,5.73e-05,Original Opus 5
Fable 5.1,refused,ladder:cyber:100M,6mo,p4,,3.965e-05,0.00018,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:100M,6mo,p4,4e-05,3.965e-05,4e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:100M,6mo,p5,2.3e-05,3.075e-05,1.5e-06,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:100M,6mo,p5,0.00016,3.075e-05,5.25e-05,Original Opus 5
Fable 5.1,refused,ladder:cyber:100M,6mo,p5,,3.075e-05,0.00017,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:100M,6mo,p5,2e-05,3.075e-05,3e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:100M,6mo,eci_p10,3.8e-05,2.8e-05,1.95e-06,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:100M,6mo,eci_p10,0.00022,2.8e-05,4.2e-05,Original Opus 5
Fable 5.1,refused,ladder:cyber:100M,6mo,eci_p10,,2.8e-05,0.00016,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:100M,6mo,eci_p10,2.5e-05,2.8e-05,4e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:100M,6mo,eci_p25,6.2e-05,3.6e-05,2.4e-06,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:100M,6mo,eci_p25,0.00028,3.6e-05,5.1e-05,Original Opus 5
Fable 5.1,refused,ladder:cyber:100M,6mo,eci_p25,,3.6e-05,0.00018,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:100M,6mo,eci_p25,3.75e-05,3.6e-05,4e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:100M,6mo,eci_p50,9.2e-05,4.5e-05,3e-06,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:100M,6mo,eci_p50,0.00035,4.5e-05,6e-05,Original Opus 5
Fable 5.1,refused,ladder:cyber:100M,6mo,eci_p50,,4.5e-05,0.0002,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:100M,6mo,eci_p50,5e-05,4.5e-05,5e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:100M,6mo,eci_p75,0.00019,6.1000000000000005e-05,3.9e-06,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:100M,6mo,eci_p75,0.00047,6.1000000000000005e-05,7.2e-05,Original Opus 5
Fable 5.1,refused,ladder:cyber:100M,6mo,eci_p75,,6.1000000000000005e-05,0.00023,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:100M,6mo,eci_p75,7.5e-05,6.1000000000000005e-05,5e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:100M,6mo,eci_p90,0.00042,8.5e-05,5.1e-06,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:100M,6mo,eci_p90,0.00066,8.5e-05,9e-05,Original Opus 5
Fable 5.1,refused,ladder:cyber:100M,6mo,eci_p90,,8.5e-05,0.00027,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:100M,6mo,eci_p90,0.000125,8.5e-05,6e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:100M,12mo,unconditional,0.0004,0.00013,1.725e-05,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:100M,12mo,unconditional,0.0007,0.00013,0.00014,Original Opus 5
Fable 5.1,refused,ladder:cyber:100M,12mo,unconditional,,0.00013,0.0004,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:100M,12mo,unconditional,0.0001,0.00013,0.0001,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:100M,12mo,sq,0.00046,0.0001525,1.65e-05,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:100M,12mo,sq,0.0008,0.0001525,0.000155,Original Opus 5
Fable 5.1,refused,ladder:cyber:100M,12mo,sq,,0.0001525,0.00039,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:100M,12mo,sq,0.0001,0.0001525,0.0001,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:100M,12mo,p1,0.00053,0.00015250000000000002,1.725e-05,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:100M,12mo,p1,0.00075,0.00015250000000000002,0.000145,Original Opus 5
Fable 5.1,refused,ladder:cyber:100M,12mo,p1,,0.00015250000000000002,0.00039,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:100M,12mo,p1,0.000105,0.00015250000000000002,0.0001,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:100M,12mo,p2a,0.0003,0.0001125,1.425e-05,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:100M,12mo,p2a,0.00064,0.0001125,0.000135,Original Opus 5
Fable 5.1,refused,ladder:cyber:100M,12mo,p2a,,0.0001125,0.00038,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:100M,12mo,p2a,9e-05,0.0001125,9e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:100M,12mo,p2b,0.000215,9.75e-05,1.275e-05,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:100M,12mo,p2b,0.00052,9.75e-05,0.000127,Original Opus 5
Fable 5.1,refused,ladder:cyber:100M,12mo,p2b,,9.75e-05,0.00038,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:100M,12mo,p2b,6e-05,9.75e-05,8e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:100M,12mo,p3a,0.00019,0.00010649999999999999,1.2e-05,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:100M,12mo,p3a,0.00062,0.00010649999999999999,0.000129,Original Opus 5
Fable 5.1,refused,ladder:cyber:100M,12mo,p3a,,0.00010649999999999999,0.00037,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:100M,12mo,p3a,8.5e-05,0.00010649999999999999,9e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:100M,12mo,p3b,0.000125,9.1e-05,9.75e-06,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:100M,12mo,p3b,0.0005,9.1e-05,0.000122,Original Opus 5
Fable 5.1,refused,ladder:cyber:100M,12mo,p3b,,9.1e-05,0.00036,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:100M,12mo,p3b,7e-05,9.1e-05,8e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:100M,12mo,p4,0.00018,0.000108,1.275e-05,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:100M,12mo,p4,0.00063,0.000108,0.00013,Original Opus 5
Fable 5.1,refused,ladder:cyber:100M,12mo,p4,,0.000108,0.00036,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:100M,12mo,p4,8e-05,0.000108,8e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:100M,12mo,p5,7.5e-05,7.4e-05,7.5e-06,Original GPT-6 Astra
Opus 5,complete,ladder:cyber:100M,12mo,p5,0.00033,7.4e-05,0.000112,Original Opus 5
Fable 5.1,refused,ladder:cyber:100M,12mo,p5,,7.4e-05,0.00034,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:cyber:100M,12mo,p5,4e-05,7.4e-05,6e-05,Initial Gemini pilot
GPT-6 Astra,complete,ladder:cyber:100M,12mo,eci_p10,0.00013,7.25e-05,9.75e-06,Original GPT-6 Astra
